quantity_tons,status,item_type,thickness,width,material_ref,product_ref,selling_price
202.4110654,1,1,2.3,1317.0,2692,1668701718,768.0
32.23531688,1,1,0.6,1010.0,2525,628377,973.0
927.4307475,1,1,1.04,912.0,327,628377,873.58
102.4217728,1,1,1.04,1132.0,328,628377,871.58
207.7767065,1,1,1.04,1175.0,329,628377,866.58
44.77285681,1,1,1.04,966.0,331,628377,872.58
52.65787989,1,1,0.8,1300.0,2648,164141591,1074.0
540.7549111,1,1,0.45,900.0,164,628377,903.58
56.8313529,1,1,1.1,1300.0,2648,164141591,1048.0
181.9108418,1,1,1.25,1022.0,407,628377,846.58
26.53371627,1,1,0.8,1300.0,2648,164141591,1065.0
132.8841142,1,1,1.8,900.0,2554,640665,852.0
126.7762014,1,1,1.26,1234.0,411,628377,842.58
27.74322116,1,1,1.1,1300.0,2648,164141591,1046.0
30.89994963,1,1,3.0,800.0,4607,640665,846.0
371.6557122,1,1,0.45,1170.0,161,628377,887.58
37.87714559,1,1,3.0,900.0,4607,640665,840.0
204.2589525,1,1,1.04,1222.0,330,628377,864.58
425.0261829,1,1,2.5,900.0,2554,640665,835.0
901.3046243,1,1,0.45,1180.0,162,628377,891.58
835.3378492,1,1,3.0,900.0,2554,640665,832.0
122.9416814,1,1,0.45,1160.0,160,628377,894.58
97.39255354,1,1,4.0,900.0,2554,640665,827.0
129.2266376,1,1,1.25,1134.0,408,628377,845.58
89.96730488,1,1,2.0,900.0,2554,640665,837.0
141.6481853,1,1,0.45,900.0,164,628377,901.58
58.37092511,1,1,0.6,915.0,2937,628377,927.0
27.21938571,1,1,1.3,1389.0,3429,628377,942.0
33.50832825,1,1,13.0,1640.0,146,640665,829.0
26.58163728,1,1,1.4,1250.0,280,164141591,1082.0
31.46196482,1,1,2.4,1109.0,571,164141591,1055.0
401.1999838,1,1,1.4,1250.0,282,164141591,1072.0
401.9058266,1,1,1.9,1250.0,298,164141591,1070.0
56.71824652,1,1,0.6,1230.0,28,164141591,1093.0
23.6377866,1,1,4.0,1500.0,4632,1671863738,917.0
50.76453269,1,1,0.6,1250.0,24,164141591,1098.0
28.27600012,1,1,1.7,1250.0,288,164141591,1067.0
31.76012103,1,1,0.6,1000.0,3775,628377,989.0
27.28070925,1,1,0.6,1250.0,3776,628377,974.0
24.35218019,1,1,1.25,1250.0,278,164141591,1071.0
20.15239541,1,1,0.6,1500.0,3777,628377,968.0
31.73610896,1,1,2.4,1109.0,570,164141591,1077.0
26.50570486,1,1,2.42,1260.0,574,164141591,1105.0
28.37259608,1,1,2.0,960.0,565,164141591,1075.0
34.73186014,1,1,0.7,1700.0,5232,164141591,1190.0
39.88731001,1,1,0.9,1700.0,5233,164141591,1153.0
24.28642693,1,1,2.4,1010.0,575,164141591,1080.0
37.52855061,1,1,1.1,1700.0,5234,164141591,1143.0
24.73925528,1,1,1.92,1250.0,295,164141591,1105.0
30.04477642,1,1,1.9,1250.0,293,164141591,1073.0
39.55351283,0,1,1.0,1500.0,3210,164141591,1225.0
37.65552555,0,1,0.8,1250.0,3210,164141591,1249.0
2908.995631,1,1,0.32,1064.0,3698,611993,1167.49
104.680562,1,1,0.32,1064.0,3697,611993,1161.27
57.59645004,1,1,0.5,1000.0,1463,1332077137,1183.0
52.44294425,0,1,3.0,1820.0,2550,1670798778,970.0
50.27585892,0,1,2.0,1585.0,2550,1670798778,977.0
55.2728856,0,1,3.0,1764.0,2550,1670798778,970.0
59.97621345,0,1,3.0,1600.0,2550,1670798778,969.0
53.96987034,0,1,3.0,1440.0,2550,1670798778,967.0
50.17546807,0,1,3.0,1410.0,2550,1670798778,972.0
55.88952454,0,1,2.0,1510.0,2550,1670798778,971.0
52.63768231,0,1,2.0,1154.0,2550,1670798778,972.0
50.58176252,0,1,1.5,1440.0,2550,1670798778,1001.0
25.2334297,0,1,6.0,1020.0,647,1668701718,1202.0
22.49041542,1,1,0.97,1268.0,2202,611993,2022.0
52.13074729,0,1,1.5,1500.0,4758,1668701718,1200.0
28.07551971,0,1,1.0,1500.0,4758,1668701718,1228.0
103.7890949,1,1,1.5,1250.0,4556,1668701718,1111.0
158.0220824,1,0,1.5,1500.0,1872,628377,867.04
317.7583749,1,0,1.5,1500.0,1872,628377,860.04
159.9471361,1,0,1.12,1240.0,1875,628377,947.04
193.669526,1,0,1.12,1240.0,1875,628377,947.04
679.3791715,1,0,0.5,1250.0,1896,164141591,941.04
4.040044079,1,0,0.5,1250.0,1896,164141591,942.04
234.502712,1,0,1.0,1250.0,1897,164141591,937.04
7.401034405,1,0,1.5,1500.0,1872,628377,884.04
6.535130647,1,0,0.8,1373.0,1898,164141591,1057.04
56.59095925,1,0,1.0,1250.0,1897,164141591,934.04
26.33030253,1,0,1.15,1283.0,1892,164141591,1040.04
26.37161717,1,0,1.12,1240.0,1875,628377,973.04
363.7141636,1,0,1.5,1500.0,2022,640665,806.48
9.117850141,1,0,0.8,1373.0,1898,164141591,1048.04
783.8222674,1,0,3.0,1500.0,2016,640665,778.48
108.5501354,1,0,0.5,1250.0,1896,164141591,956.04
67.449909,1,0,1.5,1125.0,2001,640665,874.48
4.954367033,1,0,1.15,1283.0,1892,164141591,1046.04
69.17999197,1,0,2.5,1500.0,2002,640665,849.48
509.6428557,1,0,1.0,1250.0,1897,164141591,940.04
5.5173725,1,0,3.0,1500.0,2003,640665,911.48
1007.427396,1,0,1.5,1500.0,2022,640665,791.04
183.8119532,1,0,2.5,1500.0,1884,1670798778,826.48
2.715747202,1,0,0.8,1373.0,1898,164141591,1057.04
4005.111439,1,0,3.0,1500.0,2016,640665,767.04
5.328915115,1,0,1.15,1283.0,1892,164141591,1050.04
1008.035682,1,0,1.5,1125.0,2001,640665,846.04
1501.927997,1,0,1.5,1500.0,2022,640665,806.04
1003.411411,1,0,2.5,1500.0,2002,640665,837.04
3005.670509,1,0,3.0,1500.0,2016,640665,793.04
2001.581139,1,0,3.0,1500.0,2003,640665,887.04
1008.783931,1,0,1.5,1125.0,2001,640665,876.04
1002.546828,1,0,1.5,1250.0,1996,640665,788.04
1506.428633,1,0,2.5,1500.0,2002,640665,859.04
307.5096456,1,0,2.5,1500.0,1884,1670798778,799.04
1257.167296,1,0,3.0,1500.0,2003,640665,918.04
1250.486974,1,0,1.5,1250.0,1996,640665,818.04
209.3659717,1,0,2.5,1500.0,1884,1670798778,823.04
108.1484058,1,1,1.26,1222.0,4425,628377,831.33
702.7935648,1,1,1.25,1022.0,4423,628377,830.33
350.4244696,1,1,1.06,1122.0,4271,628377,853.33
106.9537944,1,1,1.06,922.0,4274,628377,856.33
1008.643583,1,1,1.06,911.0,4278,628377,859.33
1252.332332,1,1,1.06,1244.0,4279,628377,854.33
402.4328118,1,1,1.26,1244.0,4427,628377,829.33
702.5382342,1,1,0.38,1000.0,4495,628377,920.33
209.6820023,1,1,1.06,822.0,4276,628377,863.33
109.6793551,1,1,0.4,900.0,1709,628377,885.33
241.8729828,1,1,0.6,1302.0,4510,628377,841.33
81.21837965,1,1,0.6,1226.0,4500,628377,837.33
80.44452467,1,1,0.6,1270.0,4504,628377,858.33
706.6377417,1,1,1.06,1222.0,4272,628377,846.33
708.452517,1,1,1.06,1022.0,4269,628377,860.33
208.9704808,1,1,0.4,1080.0,4497,628377,885.33
29.14119397,1,1,0.6,1286.0,4506,628377,836.33
27.89374184,1,1,0.6,1298.0,4508,628377,838.33
179.727928,1,1,0.6,1238.0,4502,628377,837.33
50.67042239,1,1,1.25,822.0,4419,628377,843.33
553.9515137,1,1,0.4,1000.0,1710,628377,892.33
251.4544426,1,1,1.06,1222.0,3417,628377,857.33
37.89697037,0,1,3.0,2000.0,2547,1670798778,1037.0
31.48474028,0,1,3.0,2000.0,4587,1670798778,1045.0
59.9347769,0,1,1.5,1500.0,2669,1668701718,1167.0
34.75989494,1,1,9.0,1080.0,4484,640665,996.0
146.121677,1,1,0.5,1250.0,3378,611993,1194.0
26.12392184,1,1,1.75,1268.0,1861,1668701718,1111.0
302.044038,1,1,2.5,1250.0,4807,1670798778,1029.0
153.3833243,0,1,2.0,1500.0,2673,1668701718,1113.0
26.52840745,1,1,8.0,1205.0,2019,640665,820.04
21.39421481,1,1,6.99,1320.0,2021,640665,818.04
35.45018551,1,1,8.0,1060.0,2019,640665,831.04
32.78365436,1,1,8.0,1000.0,2019,640665,829.04
251.5008214,1,1,3.5,1210.0,4802,1670798778,1026.0
159.4298844,1,1,0.94,1250.0,4716,164141591,1192.0
109.6725632,1,1,0.72,1250.0,4716,164141591,1227.0
62.5101732,0,1,1.95,1348.0,1715,640665,982.0
40.23168625,0,1,2.8,1250.0,1715,640665,978.0
458.0058919,0,1,1.42,1315.0,1715,640665,1017.0
86.4431196,0,1,1.42,1350.0,1715,640665,1029.0
60.3225266,0,1,1.88,1260.0,1715,640665,1011.0
151.8810145,1,1,1.5,1260.0,3737,1670798778,892.0
31.22500554,1,1,0.8,1250.0,2490,628377,1103.0
52.90262905,1,1,0.8,1500.0,2490,628377,1101.0
55.88108922,1,1,1.0,1250.0,2490,628377,1099.0
